id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1674,postgres,1,500,100000,1000000,9.69,a81d770,10319.92,48.45,2022-03-28 09:42:20
1675,postgres,0,25,100000,1000000,200.06,a81d770,499.85,50.02,2022-03-28 09:46:54
1676,mongodb,1,50,100000,1000000,3.43,a81d770,29154.52,1.72,2022-03-28 09:47:19
1677,mysql,1,25,100000,1000000,77.9,a81d770,1283.7,19.48,2022-03-28 09:48:57
1678,mysql,0,500,100000,1000000,7.31,a81d770,13679.89,36.55,2022-03-28 09:49:09
1679,mysql,0,1500,100000,1000000,4.24,a81d770,23584.91,64.24,2022-03-28 09:49:18
1680,mysql,1,1500,100000,1000000,20.28,a81d770,4930.97,307.27,2022-03-28 09:49:58
1681,postgres,0,1500,100000,1000000,7.28,a81d770,13736.26,110.3,2022-03-28 09:51:21
1682,mongodb,1,1500,100000,1000000,2.28,a81d770,43859.65,34.55,2022-03-28 09:51:44
1683,mongodb,0,200,100000,1000000,1.4,a81d770,71428.57,2.8,2022-03-28 09:51:56
1684,mysql,0,100,100000,1000000,24.43,a81d770,4093.33,24.43,2022-03-28 09:52:25
1685,mysql,1,5,100000,1000000,371.09,a81d770,269.48,18.55,2022-03-28 09:58:55
1686,postgres,0,2000,100000,1000000,7.35,a81d770,13605.44,147.0,2022-03-28 10:00:18
1687,postgres,1,200,100000,1000000,10.2,a81d770,9803.92,20.4,2022-03-28 10:02:05
1688,mysql,1,100,100000,1000000,29.04,a81d770,3443.53,29.04,2022-03-28 10:02:53
1689,mysql,1,1000,100000,1000000,20.38,a81d770,4906.77,203.8,2022-03-28 10:03:33
1690,postgres,0,10,100000,1000000,46.25,a81d770,2162.16,4.63,2022-03-28 10:05:34
1691,postgres,0,200,100000,1000000,8.19,a81d770,12210.01,16.38,2022-03-28 10:06:57
1692,mysql,1,200,100000,1000000,26.3,a81d770,3802.28,52.6,2022-03-28 10:07:42
1693,mysql,0,25,100000,1000000,81.27,a81d770,1230.47,20.32,2022-03-28 10:09:09
1694,postgres,0,5,100000,1000000,88.71,a81d770,1127.27,4.44,2022-03-28 10:11:52
